"Name","X-Coordiante","Y-Coordinate","Rotation","Value","Package"
"C101","79.00","29.40","90","22 pF","C0603"
"C102","79.00","33.40","270","22 pF","C0603"
"C103","65.10","34.20","270","100nF","C0603"
"C104","63.10","34.20","270","1µF","C0805"
"C105","61.10","34.20","270","100nF","C0603"
"C106","61.10","27.70","270","1µF","C0805"
"C107","56.80","23.90","270","100nF","C0603"
"C108","56.00","41.90","90","100nF","C0603"
"C109","51.70","41.90","90","4µ7F","C0805"
"C110","47.40","41.90","90","100nF","C0603"
"C111","43.90","27.10","180","100nF","C0603"
"C201","34.40","79.50","90","100nF","C0603"
"C202","28.70","82.20","270","100µF EEHZA1V101V","PANASONIC_F"
"C203","41.60","60.20","180","680µF 16SVPK680M","PANASONIC_E"
"C204","34.50","58.20","270","10µF","C1210"
"C205","31.30","58.20","270","100nF","C0603"
"C206","31.30","62.70","90","10nF","C0603"
"C207","45.40","41.90","90","100nF","C0603"
"C208","12.90","47.00","0","10nF","C0603"
"C209","16.30","47.90","270","10µF","C1210"
"C210","25.00","47.90","90","100nF","C0603"
"C211","13.60","44.20","90","47pF","C0603"
"C212","13.60","40.40","270","47pF","C0603"
"C213","20.80","37.40","180","100nF","C0603"
"C214","9.40","54.00","270","100nF","C0603"
"C215","5.40","68.90","90","10µF","C1210"
"C216","8.80","68.90","90","10µF","C1210"
"C217","7.10","54.00","270","100nF","C0603"
"C301","62.70","77.80","270","1µF","C0805"
"C302","64.70","77.80","270","100nF","C0603"
"C303","64.70","86.70","270","22pF","C0402"
"C304","25.70","4.03","90","10µF","C1210"
"C305","23.10","4.03","90","100nF","C0603"
"D201","20.00","91.00","180","SK33","SMC"
"D202","41.60","69.20","0","SK33","SMC"
"D203","26.70","60.20","90","SK33","SMC"
"D204","16.30","60.20","270","SK33","SMC"
"IC101","53.00","32.90","90","STM32F446XC/XE","LQFP64"
"IC201","41.60","80.57","0","LM2596DSADJ","TO263-5"
"IC202","22.60","42.30","270","FT231XS-R","SOP64P599X175-20N"
"IC203","7.10","60.20","0","LM1117IMP 3.3V","SOT223"
"J101","65.20","20.52","270","","1X06SMD"
"L201","28.70","70.30","180","100uH WE74404086101","WE-LQS_8040"
"L202","12.90","49.30","180","FERRITE","L0805"
"L301","60.40","77.80","270","FERRITE","L0805"
"L302","28.50","4.03","270","FERRITE","L0805"
"LED101","40.90","34.20","90","yellow","CHIP-LED0603"
"LED102","40.90","36.30","90","blue","CHIP-LED0603"
"LED201","20.80","33.50","270","red","CHIP-LED0603"
"LED202","20.80","35.40","270","green","CHIP-LED0603"
"LED301","77.60","74.70","270","red","CHIP-LED0603"
"LED302","77.60","72.70","270","green","CHIP-LED0603"
"MOD301","70.30","82.28","270","WIRL-BTLE_2611011024000","WE-FP-4+"
"Q101","75.00","31.40","90","25 MHz","HC49UP"
"R101","70.60","29.40","90","0R","R0805"
"R102","70.60","33.40","270","0R","R0805"
"R103","54.80","23.90","90","10k","R0603"
"R104","49.60","41.90","270","0R","R0805"
"R105","43.90","29.10","180","0R","R0805"
"R106","65.20","29.80","0","n.p.","R0603"
"R107","44.20","34.20","0","3k3","R0603"
"R108","44.20","36.30","0","3k3","R0603"
"R201","41.40","41.90","90","91k","R0603"
"R202","43.40","41.90","270","13k","R0603"
"R203","33.30","62.70","270","10k","R0603"
"R204","35.30","62.70","90","3k3","R0603"
"R205","16.20","43.30","0","27R","R0603"
"R206","16.20","41.30","0","27R","R0603"
"R207","23.90","33.50","180","3k3","R0603"
"R208","23.90","35.40","180","3k3","R0603"
"R301","74.30","74.80","0","3k3","R0603"
"R302","74.30","72.80","0","3k3","R0603"
"S101","65.10","40.00","0","222CM","222CM"
"X201","8.63","81.20","0","694106106102","694106106102"
"X202","6.50","41.90","0","MINI-USB","32005-201"
