"Name","X-Coordiante","Y-Coordinate","Rotation","Value","Package"
"F1","337.500","227.000","0","fiducial","circle"
"F2","22.500","227.000","0","fiducial","circle"
"F3","22.500","20.000","0","fiducial","circle"
"F4","337.500","20.000","0","fiducial","circle"
"IC001","330.000","221.345","90","BGS12P2L6","TSLP-6-4"
"R001","329.625","219.170","0","1.5kR","0603"
"C001","331.650","220.250","0","1nF","0603"
"LED001","332.150","218.000","90","green_150060VS75000","0603"
"IC002","310.000","221.345","90","BGS12P2L6","TSLP-6-4"
"R002","309.625","219.170","0","1.5kR","0603"
"C002","311.650","220.250","0","1nF","0603"
"LED002","312.150","218.000","90","green_150060VS75000","0603"
"IC003","290.000","221.345","90","BGS12P2L6","TSLP-6-4"
"R003","289.625","219.170","0","1.5kR","0603"
"C003","291.650","220.250","0","1nF","0603"
"LED003","292.150","218.000","90","green_150060VS75000","0603"
"IC004","270.000","221.345","90","BGS12P2L6","TSLP-6-4"
"R004","269.625","219.170","0","1.5kR","0603"
"C004","271.650","220.250","0","1nF","0603"
"LED004","272.150","218.000","90","green_150060VS75000","0603"
"IC005","250.000","221.345","90","BGS12P2L6","TSLP-6-4"
"R005","249.625","219.170","0","1.5kR","0603"
"C005","251.650","220.250","0","1nF","0603"
"LED005","252.150","218.000","90","green_150060VS75000","0603"
"IC006","230.000","221.345","90","BGS12P2L6","TSLP-6-4"
"R006","229.625","219.170","0","1.5kR","0603"
"C006","231.650","220.250","0","1nF","0603"
"LED006","232.150","218.000","90","green_150060VS75000","0603"
"IC007","210.000","221.345","90","BGS12P2L6","TSLP-6-4"
"R007","209.625","219.170","0","1.5kR","0603"
"C007","211.650","220.250","0","1nF","0603"
"LED007","212.150","218.000","90","green_150060VS75000","0603"
"IC008","190.000","221.345","90","BGS12P2L6","TSLP-6-4"
"R008","189.625","219.170","0","1.5kR","0603"
"C008","191.650","220.250","0","1nF","0603"
"LED008","192.150","218.000","90","green_150060VS75000","0603"
"IC009","170.000","221.345","90","BGS12P2L6","TSLP-6-4"
"R009","169.625","219.170","0","1.5kR","0603"
"C009","171.650","220.250","0","1nF","0603"
"LED009","172.150","218.000","90","green_150060VS75000","0603"
"IC010","150.000","221.345","90","BGS12P2L6","TSLP-6-4"
"R010","149.625","219.170","0","1.5kR","0603"
"C010","151.650","220.250","0","1nF","0603"
"LED010","152.150","218.000","90","green_150060VS75000","0603"
