22 pF; 3110; 1157; 90;C101 
22 pF; 3110; 1315;270;C102 
100nF; 2563; 1346;270;C103 
1µF; 2484; 1346;270;C104 
100nF; 2406; 1346;270;C105 
1µF; 2406; 1091;270;C106 
100nF; 2236;  941;270;C107 
100nF; 2205; 1650; 90;C108 
4µ7F; 2035; 1650; 90;C109 
100nF; 1866; 1650; 90;C110 
100nF; 1728; 1067;180;C111 
100nF; 1354; 3130; 90;C201 
100µF EEHZA1V101V; 1130; 3236;270;C202 
680µF 16SVPK680M ; 1638; 2370;180;C203 
10µF; 1358; 2291;270;C204 
100nF; 1232; 2291;270;C205 
10nF; 1232; 2469; 90;C206 
100nF; 1787; 1650; 90;C207 
10nF;  508; 1850;  0;C208 
10µF;  642; 1886;270;C209 
100nF;  984; 1886; 90;C210 
47pF;  535; 1740; 90;C211 
47pF;  535; 1591;270;C212 
100nF;  819; 1472;180;C213 
100nF;  370; 2126;270;C214 
10µF;  213; 2713; 90;C215 
10µF;  346; 2713; 90;C216 
100nF;  280; 2126;270;C217 
1µF; 2469; 3063;270;C301 
100nF; 2547; 3063;270;C302 
22pF; 2547; 3413;270;C303 
10µF; 1012;  159; 90;C304 
100nF;  909;  159; 90;C305 
SK33;  787; 3583;180;D201 
SK33; 1638; 2724;  0;D202 
SK33; 1051; 2370; 90;D203 
SK33;  642; 2370;270;D204 
MOUNT-HOLE3.2;    0;    0;  0;H1 
MOUNT-HOLE3.2;    0;    0;  0;H2 
MOUNT-HOLE3.2;    0;    0;  0;H3 
MOUNT-HOLE3.2;    0;    0;  0;H4 
MOUNT-HOLE3.2;    0;    0;  0;H5 
MOUNT-HOLE3.2;    0;    0;  0;H6 
STM32F446XC/XE; 2087; 1295; 90;IC101 
LM2596DSADJ; 1638; 3172;  0;IC201 
FT231XS-R;  890; 1665;270;IC202 
LM1117IMP 3.3V;  280; 2370;  0;IC203 
; 2567;  808;270;J101 
62200421821;  787; 3161;  0;J401 
62200421821; 3937; 3161;  0;J402 
 62201021821 ;  709;  159;270;J403 
 62201021821 ; 3858;  159;270;J404 
100uH WE74404086101; 1130; 2768;180;L201 
FERRITE;  508; 1941;180;L202 
FERRITE; 2378; 3063;270;L301 
FERRITE; 1122;  159;270;L302 
yellow; 1610; 1346; 90;LED101 
blue; 1610; 1429; 90;LED102 
red;  819; 1319;270;LED201 
green;  819; 1394;270;LED202 
red; 3055; 2941;270;LED301 
green; 3055; 2862;270;LED302 
WIRL-BTLE_2611011024000; 2768; 3239;270;MOD301 
25 MHz; 2953; 1236; 90;Q101 
0R; 2780; 1157; 90;R101 
0R; 2780; 1315;270;R102 
10k; 2157;  941; 90;R103 
0R; 1953; 1650;270;R104 
0R; 1728; 1146;180;R105 
n.p.; 2567; 1173;  0;R106 
3k3; 1740; 1346;  0;R107 
3k3; 1740; 1429;  0;R108 
91k; 1630; 1650; 90;R201 
13k; 1709; 1650;270;R202 
10k; 1311; 2469;270;R203 
3k3; 1390; 2469; 90;R204 
27R;  638; 1705;  0;R205 
27R;  638; 1626;  0;R206 
3k3;  941; 1319;180;R207 
3k3;  941; 1394;180;R208 
3k3; 2925; 2945;  0;R301 
3k3; 2925; 2866;  0;R302 
222CM; 2563; 1575;  0;S101 
TPB1,27; 1047; 1811;  0;TP201 
TPB1,27;  870; 1945;  0;TP202 
TPB1,27;  811; 1886;  0;TP203 
TPB1,27;  929; 1886;  0;TP204 
TPB1,27;  752; 1945;  0;TP205 
TPB1,27; 1047; 1488;  0;TP206 
TPB1,27; 2476; 3248;  0;TP301 
TPB1,27; 2476; 3331;  0;TP302 
694106106102;  340; 3197;  0;X201 
MINI-USB;  256; 1650;  0;X202 
